name,img
Hanging Lamp,https://rajelectricals.co.in/wp-content/uploads/2020/08/ARCHISA-LIGHTS-2.png
Pendant Light,https://rajelectricals.co.in/wp-content/uploads/2020/08/ARCHISA-LIGHTS-3.png
Hanging Chandelier,https://rajelectricals.co.in/wp-content/uploads/2020/08/ARCHISA-LIGHTS-4.png
Table Lamp,https://rajelectricals.co.in/wp-content/uploads/2020/08/ARCHISA-LIGHTS-5.png
Hanging Light,https://rajelectricals.co.in/wp-content/uploads/2020/08/ARCHISA-LIGHTS-6.png
Wall Light,https://rajelectricals.co.in/wp-content/uploads/2020/08/ARCHISA-LIGHTS-8.png
