name,img
Indoor Lights,https://rajelectricals.co.in/wp-content/uploads/2021/01/living-room.png
Bedroom Lights,https://rajelectricals.co.in/wp-content/uploads/2021/01/bedroom-lighting.png
Bathroom Lights,https://rajelectricals.co.in/wp-content/uploads/2021/01/bathroom-lighting.png
Outdoor Lights,https://rajelectricals.co.in/wp-content/uploads/2021/01/outdoor-lights.jpeg
