name,img
Outdoor Lighting,https://rajelectricals.co.in/wp-content/uploads/2020/08/OSRAM-LIGHTS-1.png
Indoor Lighting,https://rajelectricals.co.in/wp-content/uploads/2020/08/OSRAM-LIGHTS-2.png
Street Lighting,https://rajelectricals.co.in/wp-content/uploads/2020/08/OSRAM-LIGHTS-3.png
