name,img
CEILING FANS,https://rajelectricals.co.in/wp-content/uploads/2020/08/USHA-FANS-1.png
TABLE FANS,https://rajelectricals.co.in/wp-content/uploads/2020/08/USHA-FANS-2.png
PEDESTAL FANS,https://rajelectricals.co.in/wp-content/uploads/2020/08/USHA-FANS-3.png
WALL MOUNTED FANS,https://rajelectricals.co.in/wp-content/uploads/2020/08/USHA-FANS-4.png
EXHAUST FANS,https://rajelectricals.co.in/wp-content/uploads/2020/08/USHA-FANS-5.png
SPECIAL FANS,https://rajelectricals.co.in/wp-content/uploads/2020/08/USHA-FANS-6.png
