name,img
Ceiling Fans,https://rajelectricals.co.in/wp-content/uploads/2020/08/havells-ceiling-fans-prodcut.png
Table Fans,https://rajelectricals.co.in/wp-content/uploads/2020/08/havells-table-fans.png
Pedestal Fans,https://rajelectricals.co.in/wp-content/uploads/2020/08/havells-pedstal-fan.png
Wall Fans,https://rajelectricals.co.in/wp-content/uploads/2020/08/wall-fans.png
Ceiling Mounting Fans,https://rajelectricals.co.in/wp-content/uploads/2020/08/havells-ceiling-mounting-fan.png
Personal Fans,https://rajelectricals.co.in/wp-content/uploads/2020/08/havells-personal-fan.png
